,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
1103,DeKalb County total migration-1617,"DeKalb County Total Migration-US and Foreign, GA",1617,2016,2017,70430,2443164000,80098,2696968000,-9668,-253804000,DeKalb County,34689.25173931563,33670.85320482409
1280,Douglas County total migration-1617,"Douglas County Total Migration-US and Foreign, GA",1617,2016,2017,15797,293631000,14554,330747000,1243,-37116000,Douglas County,18587.769829714503,22725.505015803217
1304,Fayette County total migration-1617,"Fayette County Total Migration-US and Foreign, GA",1617,2016,2017,12336,422358000,9725,380879000,2611,41479000,Fayette County,34237.84046692607,39164.93573264781
1325,Forsyth County total migration-1617,"Forsyth County Total Migration-US and Foreign, GA",1617,2016,2017,27531,1076075000,17106,746833000,10425,329242000,Forsyth County,39085.939486397154,43659.12545305741
1363,Fulton County total migration-1617,"Fulton County Total Migration-US and Foreign, GA",1617,2016,2017,102803,4651300000,104106,4504455000,-1303,146845000,Fulton County,45244.78857620886,43267.96726413463
1580,Gwinnett County total migration-1617,"Gwinnett County Total Migration-US and Foreign, GA",1617,2016,2017,76911,1895917000,73603,2174943000,3308,-279026000,Gwinnett County,24650.79117421435,29549.651508770025
1758,Henry County total migration-1617,"Henry County Total Migration-US and Foreign, GA",1617,2016,2017,24803,521037000,19869,488166000,4934,32871000,Henry County,21007.01528040963,24569.228446323417
1801,Rockdale County total migration-1617,"Rockdale County Total Migration-US and Foreign, GA",1617,2016,2017,10083,175572000,9214,187549000,869,-11977000,Rockdale County,17412.674799166914,20354.786194920773
1813,Cherokee County total migration-1819,"Cherokee County Total Migration-US and Foreign, GA",1819,2018,2019,17820,690534000,13935,486645000,3885,203889000,Cherokee County,38750.50505050505,34922.49730893434
1844,Clayton County total migration-1819,"Clayton County Total Migration-US and Foreign, GA",1819,2018,2019,26051,354618000,26003,441959000,48,-87341000,Clayton County,13612.452497025066,16996.46194669846
1890,Cobb County total migration-1819,"Cobb County Total Migration-US and Foreign, GA",1819,2018,2019,48484,1755202000,51327,1970275000,-2843,-215073000,Cobb County,36201.67477930864,38386.716542950104
2030,DeKalb County total migration-1819,"DeKalb County Total Migration-US and Foreign, GA",1819,2018,2019,54315,1845004000,59569,1954268000,-5254,-109264000,DeKalb County,33968.59062873976,32806.795480870926
2171,Douglas County total migration-1819,"Douglas County Total Migration-US and Foreign, GA",1819,2018,2019,12224,236849000,11289,258459000,935,-21610000,Douglas County,19375.736256544504,22894.764815306935
2187,Fayette County total migration-1819,"Fayette County Total Migration-US and Foreign, GA",1819,2018,2019,8840,323374000,7476,319127000,1364,4247000,Fayette County,36580.769230769234,42686.864633493846
2200,Forsyth County total migration-1819,"Forsyth County Total Migration-US and Foreign, GA",1819,2018,2019,18657,780741000,12853,639892000,5804,140849000,Forsyth County,41847.08152436083,49785.41974636271
2229,Fulton County total migration-1819,"Fulton County Total Migration-US and Foreign, GA",1819,2018,2019,79534,3757433000,80044,3862535000,-510,-105102000,Fulton County,47243.10357834386,48255.14716905702
2423,Gwinnett County total migration-1819,"Gwinnett County Total Migration-US and Foreign, GA",1819,2018,2019,55890,1482239000,55166,1766932000,724,-284693000,Gwinnett County,26520.64770084094,32029.36591378748
2571,Henry County total migration-1819,"Henry County Total Migration-US and Foreign, GA",1819,2018,2019,20216,420530000,16499,374124000,3717,46406000,Henry County,20801.84012663237,22675.556094308748
2612,Rockdale County total migration-1819,"Rockdale County Total Migration-US and Foreign, GA",1819,2018,2019,8094,152526000,7483,155344000,611,-2818000,Rockdale County,18844.329132690884,20759.58840037418
2624,Cherokee County total migration-1920,"Cherokee County Total Migration-US and Foreign, GA",1920,2019,2020,20214,804863000,15189,561560000,5025,243303000,Cherokee County,39817.10695557534,36971.492527487
2663,Clayton County total migration-1920,"Clayton County Total Migration-US and Foreign, GA",1920,2019,2020,26628,376022000,28074,450409000,-1446,-74387000,Clayton County,14121.300886285113,16043.634679774881
2711,Cobb County total migration-1920,"Cobb County Total Migration-US and Foreign, GA",1920,2019,2020,50433,1931624000,54664,2163290000,-4231,-231666000,Cobb County,38300.79511431007,39574.3085028538
2859,DeKalb County total migration-1920,"DeKalb County Total Migration-US and Foreign, GA",1920,2019,2020,55304,2034328000,64687,2211216000,-9383,-176888000,DeKalb County,36784.46405323304,34183.31349421058
3005,Douglas County total migration-1920,"Douglas County Total Migration-US and Foreign, GA",1920,2019,2020,13337,266072000,12439,288603000,898,-22531000,Douglas County,19949.91377371223,23201.463140123804
3025,Fayette County total migration-1920,"Fayette County Total Migration-US and Foreign, GA",1920,2019,2020,9834,394175000,8221,345007000,1613,49168000,Fayette County,40082.87573723815,41966.549081620244
3038,Forsyth County total migration-1920,"Forsyth County Total Migration-US and Foreign, GA",1920,2019,2020,21029,896129000,15478,742023000,5551,154106000,Forsyth County,42613.961671976795,47940.496188138
3068,Fulton County total migration-1920,"Fulton County Total Migration-US and Foreign, GA",1920,2019,2020,83484,4217450000,88260,4441300000,-4776,-223850000,Fulton County,50518.063341478606,50320.643553138456
3280,Gwinnett County total migration-1920,"Gwinnett County Total Migration-US and Foreign, GA",1920,2019,2020,59662,1612287000,60255,1956951000,-593,-344664000,Gwinnett County,27023.68341658007,32477.819268110532
3430,Henry County total migration-1920,"Henry County Total Migration-US and Foreign, GA",1920,2019,2020,21887,469013000,18423,475144000,3464,-6131000,Henry County,21428.839036871203,25790.80497204581
