,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
377738,Fulton County,GA,Bergen County,NJ,65,3360,3360000,1920,2019,2020,outflow,Fulton County-Bergen County-NJ-1920,"Bergen County, NJ"
377739,Fulton County,GA,New Hanover County,NC,58,2651,2651000,1920,2019,2020,outflow,Fulton County-New Hanover County-NC-1920,"New Hanover County, NC"
377740,Fulton County,GA,Fort Bend County,TX,73,3333,3333000,1920,2019,2020,outflow,Fulton County-Fort Bend County-TX-1920,"Fort Bend County, TX"
377741,Fulton County,GA,Sacramento County,CA,53,2696,2696000,1920,2019,2020,outflow,Fulton County-Sacramento County-CA-1920,"Sacramento County, CA"
377742,Fulton County,GA,Jefferson County,CO,50,3783,3783000,1920,2019,2020,outflow,Fulton County-Jefferson County-CO-1920,"Jefferson County, CO"
377743,Fulton County,GA,New Castle County,DE,51,1755,1755000,1920,2019,2020,outflow,Fulton County-New Castle County-DE-1920,"New Castle County, DE"
377744,Fulton County,GA,Nassau County,NY,50,2049,2049000,1920,2019,2020,outflow,Fulton County-Nassau County-NY-1920,"Nassau County, NY"
377745,Fulton County,GA,Virginia Beach city,VA,56,1571,1571000,1920,2019,2020,outflow,Fulton County-Virginia Beach city-VA-1920,"Virginia Beach city, VA"
377746,Fulton County,GA,Boulder County,CO,48,2538,2538000,1920,2019,2020,outflow,Fulton County-Boulder County-CO-1920,"Boulder County, CO"
377747,Fulton County,GA,Douglas County,CO,67,4608,4608000,1920,2019,2020,outflow,Fulton County-Douglas County-CO-1920,"Douglas County, CO"
377748,Fulton County,GA,Honolulu County,HI,63,2503,2503000,1920,2019,2020,outflow,Fulton County-Honolulu County-HI-1920,"Honolulu County, HI"
377749,Fulton County,GA,Montgomery County,PA,46,3919,3919000,1920,2019,2020,outflow,Fulton County-Montgomery County-PA-1920,"Montgomery County, PA"
377750,Fulton County,GA,Rutherford County,TN,59,2267,2267000,1920,2019,2020,outflow,Fulton County-Rutherford County-TN-1920,"Rutherford County, TN"
377751,Fulton County,GA,Milwaukee County,WI,53,1594,1594000,1920,2019,2020,outflow,Fulton County-Milwaukee County-WI-1920,"Milwaukee County, WI"
377752,Fulton County,GA,Lake County,IL,59,4981,4981000,1920,2019,2020,outflow,Fulton County-Lake County-IL-1920,"Lake County, IL"
377753,Fulton County,GA,Cumberland County,NC,55,1236,1236000,1920,2019,2020,outflow,Fulton County-Cumberland County-NC-1920,"Cumberland County, NC"
377754,Fulton County,GA,Loudoun County,VA,61,3608,3608000,1920,2019,2020,outflow,Fulton County-Loudoun County-VA-1920,"Loudoun County, VA"
377755,Fulton County,GA,Benton County,AR,58,2949,2949000,1920,2019,2020,outflow,Fulton County-Benton County-AR-1920,"Benton County, AR"
