,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1,Cherokee County-Cobb County-GA-1718,"Cobb County, GA",1718,2017,2018,4922,162785000,3074,101314000,1848,61471000,Cherokee County,Cherokee County-Cobb County-GA
2,Cherokee County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,2496,111313000,1336,56432000,1160,54881000,Cherokee County,Cherokee County-Fulton County-GA
3,Cherokee County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,871,38178000,586,19402000,285,18776000,Cherokee County,Cherokee County-Forsyth County-GA
4,Cherokee County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,709,24520000,397,10440000,312,14080000,Cherokee County,Cherokee County-Gwinnett County-GA
5,Cherokee County-Pickens County-GA-1718,"Pickens County, GA",1718,2017,2018,528,14480000,636,15792000,-108,-1312000,Cherokee County,Cherokee County-Pickens County-GA
6,Cherokee County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,408,13647000,317,10897000,91,2750000,Cherokee County,Cherokee County-DeKalb County-GA
7,Cherokee County-Bartow County-GA-1718,"Bartow County, GA",1718,2017,2018,457,12237000,908,17692000,-451,-5455000,Cherokee County,Cherokee County-Bartow County-GA
8,Cherokee County-Paulding County-GA-1718,"Paulding County, GA",1718,2017,2018,420,11207000,645,16329000,-225,-5122000,Cherokee County,Cherokee County-Paulding County-GA
9,Cherokee County-Gilmer County-GA-1718,"Gilmer County, GA",1718,2017,2018,153,3277000,149,4488000,4,-1211000,Cherokee County,Cherokee County-Gilmer County-GA
10,Cherokee County-Broward County-FL-1718,"Broward County, FL",1718,2017,2018,143,4827000,54,1987000,89,2840000,Cherokee County,Cherokee County-Broward County-FL
11,Cherokee County-Henry County-GA-1718,"Henry County, GA",1718,2017,2018,130,4625000,54,1178000,76,3447000,Cherokee County,Cherokee County-Henry County-GA
12,Cherokee County-Hall County-GA-1718,"Hall County, GA",1718,2017,2018,97,4183000,72,3987000,25,196000,Cherokee County,Cherokee County-Hall County-GA
13,Cherokee County-Douglas County-GA-1718,"Douglas County, GA",1718,2017,2018,96,3002000,95,2079000,1,923000,Cherokee County,Cherokee County-Douglas County-GA
14,Cherokee County-Palm Beach County-FL-1718,"Palm Beach County, FL",1718,2017,2018,92,2758000,47,1553000,45,1205000,Cherokee County,Cherokee County-Palm Beach County-FL
15,Cherokee County-Clayton County-GA-1718,"Clayton County, GA",1718,2017,2018,72,1918000,71,1212000,1,706000,Cherokee County,Cherokee County-Clayton County-GA
16,Cherokee County-Floyd County-GA-1718,"Floyd County, GA",1718,2017,2018,73,2167000,63,1025000,10,1142000,Cherokee County,Cherokee County-Floyd County-GA
17,Cherokee County-Coweta County-GA-1718,"Coweta County, GA",1718,2017,2018,52,1824000,54,2023000,-2,-199000,Cherokee County,Cherokee County-Coweta County-GA
18,Cherokee County-Clarke County-GA-1718,"Clarke County, GA",1718,2017,2018,45,1717000,41,1012000,4,705000,Cherokee County,Cherokee County-Clarke County-GA
19,Cherokee County-Carroll County-GA-1718,"Carroll County, GA",1718,2017,2018,59,1755000,58,1233000,1,522000,Cherokee County,Cherokee County-Carroll County-GA
20,Cherokee County-Duval County-FL-1718,"Duval County, FL",1718,2017,2018,56,1794000,50,2240000,6,-446000,Cherokee County,Cherokee County-Duval County-FL
21,Cherokee County-Chatham County-GA-1718,"Chatham County, GA",1718,2017,2018,60,1193000,39,1461000,21,-268000,Cherokee County,Cherokee County-Chatham County-GA
22,Cherokee County-Harris County-TX-1718,"Harris County, TX",1718,2017,2018,63,2162000,43,1789000,20,373000,Cherokee County,Cherokee County-Harris County-TX
23,Cherokee County-Orange County-FL-1718,"Orange County, FL",1718,2017,2018,60,2161000,66,2231000,-6,-70000,Cherokee County,Cherokee County-Orange County-FL
24,Cherokee County-Dawson County-GA-1718,"Dawson County, GA",1718,2017,2018,50,1411000,99,3021000,-49,-1610000,Cherokee County,Cherokee County-Dawson County-GA
25,Cherokee County-Hillsborough County-FL-1718,"Hillsborough County, FL",1718,2017,2018,55,2094000,33,1149000,22,945000,Cherokee County,Cherokee County-Hillsborough County-FL
26,Cherokee County-Gordon County-GA-1718,"Gordon County, GA",1718,2017,2018,56,1410000,60,1642000,-4,-232000,Cherokee County,Cherokee County-Gordon County-GA
27,Cherokee County-Mecklenburg County-NC-1718,"Mecklenburg County, NC",1718,2017,2018,53,1547000,60,3234000,-7,-1687000,Cherokee County,Cherokee County-Mecklenburg County-NC
28,Cherokee County-Maricopa County-AZ-1718,"Maricopa County, AZ",1718,2017,2018,55,1916000,44,1672000,11,244000,Cherokee County,Cherokee County-Maricopa County-AZ
29,Cherokee County-Pinellas County-FL-1718,"Pinellas County, FL",1718,2017,2018,46,1182000,45,2303000,1,-1121000,Cherokee County,Cherokee County-Pinellas County-FL
30,Cherokee County-Houston County-GA-1718,"Houston County, GA",1718,2017,2018,45,1616000,35,744000,10,872000,Cherokee County,Cherokee County-Houston County-GA
31,Cherokee County-Fannin County-GA-1718,"Fannin County, GA",1718,2017,2018,38,900000,43,1903000,-5,-1003000,Cherokee County,Cherokee County-Fannin County-GA
32,Cherokee County-Barrow County-GA-1718,"Barrow County, GA",1718,2017,2018,33,831000,37,710000,-4,121000,Cherokee County,Cherokee County-Barrow County-GA
34,Clayton County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,7672,98687000,6372,78495000,1300,20192000,Clayton County,Clayton County-Fulton County-GA
35,Clayton County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,3449,43790000,2726,36925000,723,6865000,Clayton County,Clayton County-DeKalb County-GA
36,Clayton County-Henry County-GA-1718,"Henry County, GA",1718,2017,2018,2883,44961000,5003,87146000,-2120,-42185000,Clayton County,Clayton County-Henry County-GA
37,Clayton County-Cobb County-GA-1718,"Cobb County, GA",1718,2017,2018,961,13671000,897,17443000,64,-3772000,Clayton County,Clayton County-Cobb County-GA
38,Clayton County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,912,13039000,997,16013000,-85,-2974000,Clayton County,Clayton County-Gwinnett County-GA
39,Clayton County-Fayette County-GA-1718,"Fayette County, GA",1718,2017,2018,554,15941000,968,19429000,-414,-3488000,Clayton County,Clayton County-Fayette County-GA
40,Clayton County-Spalding County-GA-1718,"Spalding County, GA",1718,2017,2018,348,4244000,478,5722000,-130,-1478000,Clayton County,Clayton County-Spalding County-GA
41,Clayton County-Douglas County-GA-1718,"Douglas County, GA",1718,2017,2018,319,4278000,451,6512000,-132,-2234000,Clayton County,Clayton County-Douglas County-GA
42,Clayton County-Miami-Dade County-FL-1718,"Miami-Dade County, FL",1718,2017,2018,304,3390000,121,1818000,183,1572000,Clayton County,Clayton County-Miami-Dade County-FL
43,Clayton County-Broward County-FL-1718,"Broward County, FL",1718,2017,2018,227,3245000,101,1541000,126,1704000,Clayton County,Clayton County-Broward County-FL
44,Clayton County-Coweta County-GA-1718,"Coweta County, GA",1718,2017,2018,223,2749000,348,6523000,-125,-3774000,Clayton County,Clayton County-Coweta County-GA
45,Clayton County-Rockdale County-GA-1718,"Rockdale County, GA",1718,2017,2018,223,2926000,266,4249000,-43,-1323000,Clayton County,Clayton County-Rockdale County-GA
46,Clayton County-Chatham County-GA-1718,"Chatham County, GA",1718,2017,2018,153,2117000,98,1289000,55,828000,Clayton County,Clayton County-Chatham County-GA
47,Clayton County-Newton County-GA-1718,"Newton County, GA",1718,2017,2018,187,2519000,253,3412000,-66,-893000,Clayton County,Clayton County-Newton County-GA
48,Clayton County-Kings County-NY-1718,"Kings County, NY",1718,2017,2018,163,2555000,64,1182000,99,1373000,Clayton County,Clayton County-Kings County-NY
49,Clayton County-Muscogee County-GA-1718,"Muscogee County, GA",1718,2017,2018,140,1649000,124,1310000,16,339000,Clayton County,Clayton County-Muscogee County-GA
50,Clayton County-Orange County-FL-1718,"Orange County, FL",1718,2017,2018,145,1923000,59,969000,86,954000,Clayton County,Clayton County-Orange County-FL
51,Clayton County-Cook County-IL-1718,"Cook County, IL",1718,2017,2018,137,2557000,87,1474000,50,1083000,Clayton County,Clayton County-Cook County-IL
52,Clayton County-Bibb County-GA-1718,"Bibb County, GA",1718,2017,2018,137,2149000,136,1811000,1,338000,Clayton County,Clayton County-Bibb County-GA
53,Clayton County-Queens County-NY-1718,"Queens County, NY",1718,2017,2018,104,1421000,48,807000,56,614000,Clayton County,Clayton County-Queens County-NY
54,Clayton County-Hillsborough County-FL-1718,"Hillsborough County, FL",1718,2017,2018,113,1300000,71,928000,42,372000,Clayton County,Clayton County-Hillsborough County-FL
55,Clayton County-Los Angeles County-CA-1718,"Los Angeles County, CA",1718,2017,2018,105,1268000,60,707000,45,561000,Clayton County,Clayton County-Los Angeles County-CA
56,Clayton County-Duval County-FL-1718,"Duval County, FL",1718,2017,2018,100,1249000,96,1317000,4,-68000,Clayton County,Clayton County-Duval County-FL
57,Clayton County-Dougherty County-GA-1718,"Dougherty County, GA",1718,2017,2018,95,973000,55,636000,40,337000,Clayton County,Clayton County-Dougherty County-GA
58,Clayton County-Harris County-TX-1718,"Harris County, TX",1718,2017,2018,75,1387000,87,1260000,-12,127000,Clayton County,Clayton County-Harris County-TX
59,Clayton County-Richmond County-GA-1718,"Richmond County, GA",1718,2017,2018,91,982000,69,932000,22,50000,Clayton County,Clayton County-Richmond County-GA
60,Clayton County-Paulding County-GA-1718,"Paulding County, GA",1718,2017,2018,91,1507000,137,2113000,-46,-606000,Clayton County,Clayton County-Paulding County-GA
61,Clayton County-Shelby County-TN-1718,"Shelby County, TN",1718,2017,2018,101,856000,64,981000,37,-125000,Clayton County,Clayton County-Shelby County-TN
62,Clayton County-Palm Beach County-FL-1718,"Palm Beach County, FL",1718,2017,2018,86,941000,45,633000,41,308000,Clayton County,Clayton County-Palm Beach County-FL
63,Clayton County-Mecklenburg County-NC-1718,"Mecklenburg County, NC",1718,2017,2018,70,963000,55,761000,15,202000,Clayton County,Clayton County-Mecklenburg County-NC
64,Clayton County-Carroll County-GA-1718,"Carroll County, GA",1718,2017,2018,82,840000,56,661000,26,179000,Clayton County,Clayton County-Carroll County-GA
65,Clayton County-Houston County-GA-1718,"Houston County, GA",1718,2017,2018,66,1060000,73,655000,-7,405000,Clayton County,Clayton County-Houston County-GA
66,Clayton County-Wayne County-MI-1718,"Wayne County, MI",1718,2017,2018,80,856000,66,557000,14,299000,Clayton County,Clayton County-Wayne County-MI
67,Clayton County-Montgomery County-AL-1718,"Montgomery County, AL",1718,2017,2018,76,810000,44,403000,32,407000,Clayton County,Clayton County-Montgomery County-AL
68,Clayton County-Bronx County-NY-1718,"Bronx County, NY",1718,2017,2018,67,799000,45,523000,22,276000,Clayton County,Clayton County-Bronx County-NY
69,Clayton County-Jefferson County-AL-1718,"Jefferson County, AL",1718,2017,2018,68,721000,41,738000,27,-17000,Clayton County,Clayton County-Jefferson County-AL
70,Clayton County-Cherokee County-GA-1718,"Cherokee County, GA",1718,2017,2018,71,1212000,72,1918000,-1,-706000,Clayton County,Clayton County-Cherokee County-GA
71,Clayton County-Dallas County-TX-1718,"Dallas County, TX",1718,2017,2018,60,836000,68,1246000,-8,-410000,Clayton County,Clayton County-Dallas County-TX
72,Clayton County-San Diego County-CA-1718,"San Diego County, CA",1718,2017,2018,48,1056000,41,437000,7,619000,Clayton County,Clayton County-San Diego County-CA
73,Clayton County-Lowndes County-GA-1718,"Lowndes County, GA",1718,2017,2018,60,566000,64,632000,-4,-66000,Clayton County,Clayton County-Lowndes County-GA
74,Clayton County-Clark County-NV-1718,"Clark County, NV",1718,2017,2018,60,583000,75,1036000,-15,-453000,Clayton County,Clayton County-Clark County-NV
75,Clayton County-Marion County-IN-1718,"Marion County, IN",1718,2017,2018,52,649000,49,515000,3,134000,Clayton County,Clayton County-Marion County-IN
76,Clayton County-Franklin County-OH-1718,"Franklin County, OH",1718,2017,2018,68,620000,46,321000,22,299000,Clayton County,Clayton County-Franklin County-OH
77,Clayton County-Tarrant County-TX-1718,"Tarrant County, TX",1718,2017,2018,39,429000,37,732000,2,-303000,Clayton County,Clayton County-Tarrant County-TX
78,Clayton County-Cumberland County-NC-1718,"Cumberland County, NC",1718,2017,2018,43,626000,43,604000,0,22000,Clayton County,Clayton County-Cumberland County-NC
80,Cobb County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,9292,388957000,8414,392148000,878,-3191000,Cobb County,Cobb County-Fulton County-GA
81,Cobb County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,3629,134992000,2942,115242000,687,19750000,Cobb County,Cobb County-DeKalb County-GA
82,Cobb County-Cherokee County-GA-1718,"Cherokee County, GA",1718,2017,2018,3074,101314000,4922,162785000,-1848,-61471000,Cobb County,Cobb County-Cherokee County-GA
83,Cobb County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,2422,76200000,2255,99112000,167,-22912000,Cobb County,Cobb County-Gwinnett County-GA
84,Cobb County-Paulding County-GA-1718,"Paulding County, GA",1718,2017,2018,2899,77307000,5489,136429000,-2590,-59122000,Cobb County,Cobb County-Paulding County-GA
85,Cobb County-Douglas County-GA-1718,"Douglas County, GA",1718,2017,2018,1975,38316000,2910,48148000,-935,-9832000,Cobb County,Cobb County-Douglas County-GA
86,Cobb County-Clayton County-GA-1718,"Clayton County, GA",1718,2017,2018,897,17443000,961,13671000,-64,3772000,Cobb County,Cobb County-Clayton County-GA
87,Cobb County-Bartow County-GA-1718,"Bartow County, GA",1718,2017,2018,712,15675000,1275,34287000,-563,-18612000,Cobb County,Cobb County-Bartow County-GA
88,Cobb County-Henry County-GA-1718,"Henry County, GA",1718,2017,2018,515,15493000,461,12600000,54,2893000,Cobb County,Cobb County-Henry County-GA
89,Cobb County-Broward County-FL-1718,"Broward County, FL",1718,2017,2018,521,14195000,259,7747000,262,6448000,Cobb County,Cobb County-Broward County-FL
90,Cobb County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,466,18088000,931,46798000,-465,-28710000,Cobb County,Cobb County-Forsyth County-GA
91,Cobb County-Cook County-IL-1718,"Cook County, IL",1718,2017,2018,455,14532000,253,9252000,202,5280000,Cobb County,Cobb County-Cook County-IL
92,Cobb County-Los Angeles County-CA-1718,"Los Angeles County, CA",1718,2017,2018,402,16630000,305,14140000,97,2490000,Cobb County,Cobb County-Los Angeles County-CA
93,Cobb County-Miami-Dade County-FL-1718,"Miami-Dade County, FL",1718,2017,2018,365,9130000,192,6610000,173,2520000,Cobb County,Cobb County-Miami-Dade County-FL
94,Cobb County-Carroll County-GA-1718,"Carroll County, GA",1718,2017,2018,301,7212000,340,7672000,-39,-460000,Cobb County,Cobb County-Carroll County-GA
95,Cobb County-Orange County-FL-1718,"Orange County, FL",1718,2017,2018,310,7969000,250,8473000,60,-504000,Cobb County,Cobb County-Orange County-FL
96,Cobb County-Fayette County-GA-1718,"Fayette County, GA",1718,2017,2018,267,16222000,240,10570000,27,5652000,Cobb County,Cobb County-Fayette County-GA
97,Cobb County-Mecklenburg County-NC-1718,"Mecklenburg County, NC",1718,2017,2018,276,9861000,264,15794000,12,-5933000,Cobb County,Cobb County-Mecklenburg County-NC
98,Cobb County-Harris County-TX-1718,"Harris County, TX",1718,2017,2018,312,11439000,271,11209000,41,230000,Cobb County,Cobb County-Harris County-TX
99,Cobb County-Chatham County-GA-1718,"Chatham County, GA",1718,2017,2018,242,8174000,209,4895000,33,3279000,Cobb County,Cobb County-Chatham County-GA
100,Cobb County-Duval County-FL-1718,"Duval County, FL",1718,2017,2018,238,14935000,249,8190000,-11,6745000,Cobb County,Cobb County-Duval County-FL
101,Cobb County-Coweta County-GA-1718,"Coweta County, GA",1718,2017,2018,223,9111000,253,11197000,-30,-2086000,Cobb County,Cobb County-Coweta County-GA
102,Cobb County-Palm Beach County-FL-1718,"Palm Beach County, FL",1718,2017,2018,243,7235000,170,9806000,73,-2571000,Cobb County,Cobb County-Palm Beach County-FL
103,Cobb County-Hillsborough County-FL-1718,"Hillsborough County, FL",1718,2017,2018,212,5689000,292,10652000,-80,-4963000,Cobb County,Cobb County-Hillsborough County-FL
104,Cobb County-Hall County-GA-1718,"Hall County, GA",1718,2017,2018,192,5212000,220,7081000,-28,-1869000,Cobb County,Cobb County-Hall County-GA
105,Cobb County-Jefferson County-AL-1718,"Jefferson County, AL",1718,2017,2018,203,5504000,157,4344000,46,1160000,Cobb County,Cobb County-Jefferson County-AL
106,Cobb County-Clarke County-GA-1718,"Clarke County, GA",1718,2017,2018,154,4504000,140,3751000,14,753000,Cobb County,Cobb County-Clarke County-GA
107,Cobb County-Muscogee County-GA-1718,"Muscogee County, GA",1718,2017,2018,179,4099000,128,3839000,51,260000,Cobb County,Cobb County-Muscogee County-GA
108,Cobb County-Rockdale County-GA-1718,"Rockdale County, GA",1718,2017,2018,178,4433000,128,2922000,50,1511000,Cobb County,Cobb County-Rockdale County-GA
109,Cobb County-Maricopa County-AZ-1718,"Maricopa County, AZ",1718,2017,2018,191,7007000,237,10059000,-46,-3052000,Cobb County,Cobb County-Maricopa County-AZ
110,Cobb County-Kings County-NY-1718,"Kings County, NY",1718,2017,2018,181,4463000,103,2557000,78,1906000,Cobb County,Cobb County-Kings County-NY
111,Cobb County-Richmond County-GA-1718,"Richmond County, GA",1718,2017,2018,156,4091000,114,3716000,42,375000,Cobb County,Cobb County-Richmond County-GA
112,Cobb County-Wake County-NC-1718,"Wake County, NC",1718,2017,2018,204,6798000,181,7592000,23,-794000,Cobb County,Cobb County-Wake County-NC
113,Cobb County-Shelby County-TN-1718,"Shelby County, TN",1718,2017,2018,183,6773000,124,4154000,59,2619000,Cobb County,Cobb County-Shelby County-TN
114,Cobb County-Dallas County-TX-1718,"Dallas County, TX",1718,2017,2018,163,5470000,212,9859000,-49,-4389000,Cobb County,Cobb County-Dallas County-TX
115,Cobb County-Bibb County-GA-1718,"Bibb County, GA",1718,2017,2018,164,5148000,106,3833000,58,1315000,Cobb County,Cobb County-Bibb County-GA
116,Cobb County-Queens County-NY-1718,"Queens County, NY",1718,2017,2018,174,3827000,62,1835000,112,1992000,Cobb County,Cobb County-Queens County-NY
117,Cobb County-Floyd County-GA-1718,"Floyd County, GA",1718,2017,2018,156,4098000,154,4649000,2,-551000,Cobb County,Cobb County-Floyd County-GA
118,Cobb County-Hamilton County-TN-1718,"Hamilton County, TN",1718,2017,2018,155,7178000,138,6536000,17,642000,Cobb County,Cobb County-Hamilton County-TN
119,Cobb County-San Diego County-CA-1718,"San Diego County, CA",1718,2017,2018,143,5284000,164,6872000,-21,-1588000,Cobb County,Cobb County-San Diego County-CA
120,Cobb County-New York County-NY-1718,"New York County, NY",1718,2017,2018,127,6605000,88,6579000,39,26000,Cobb County,Cobb County-New York County-NY
121,Cobb County-Pinellas County-FL-1718,"Pinellas County, FL",1718,2017,2018,122,5543000,168,9573000,-46,-4030000,Cobb County,Cobb County-Pinellas County-FL
122,Cobb County-Davidson County-TN-1718,"Davidson County, TN",1718,2017,2018,121,4266000,175,10169000,-54,-5903000,Cobb County,Cobb County-Davidson County-TN
123,Cobb County-Newton County-GA-1718,"Newton County, GA",1718,2017,2018,142,3114000,149,3646000,-7,-532000,Cobb County,Cobb County-Newton County-GA
124,Cobb County-Wayne County-MI-1718,"Wayne County, MI",1718,2017,2018,138,4591000,94,2709000,44,1882000,Cobb County,Cobb County-Wayne County-MI
125,Cobb County-Houston County-GA-1718,"Houston County, GA",1718,2017,2018,125,4103000,93,2458000,32,1645000,Cobb County,Cobb County-Houston County-GA
126,Cobb County-Travis County-TX-1718,"Travis County, TX",1718,2017,2018,134,4486000,141,6375000,-7,-1889000,Cobb County,Cobb County-Travis County-TX
127,Cobb County-Montgomery County-AL-1718,"Montgomery County, AL",1718,2017,2018,126,3310000,54,1238000,72,2072000,Cobb County,Cobb County-Montgomery County-AL
128,Cobb County-Orange County-CA-1718,"Orange County, CA",1718,2017,2018,154,5096000,104,5305000,50,-209000,Cobb County,Cobb County-Orange County-CA
129,Cobb County-Leon County-FL-1718,"Leon County, FL",1718,2017,2018,105,4329000,45,1028000,60,3301000,Cobb County,Cobb County-Leon County-FL
130,Cobb County-Prince George's County-MD-1718,"Prince George's County, MD",1718,2017,2018,108,3158000,59,1547000,49,1611000,Cobb County,Cobb County-Prince George's County-MD
131,Cobb County-Fairfax County-VA-1718,"Fairfax County, VA",1718,2017,2018,126,6564000,116,5235000,10,1329000,Cobb County,Cobb County-Fairfax County-VA
132,Cobb County-Greenville County-SC-1718,"Greenville County, SC",1718,2017,2018,99,3486000,126,6482000,-27,-2996000,Cobb County,Cobb County-Greenville County-SC
133,Cobb County-Bronx County-NY-1718,"Bronx County, NY",1718,2017,2018,115,2388000,51,783000,64,1605000,Cobb County,Cobb County-Bronx County-NY
134,Cobb County-Lee County-FL-1718,"Lee County, FL",1718,2017,2018,106,3473000,85,4201000,21,-728000,Cobb County,Cobb County-Lee County-FL
135,Cobb County-Clark County-NV-1718,"Clark County, NV",1718,2017,2018,115,3565000,150,5422000,-35,-1857000,Cobb County,Cobb County-Clark County-NV
136,Cobb County-King County-WA-1718,"King County, WA",1718,2017,2018,115,6438000,197,10278000,-82,-3840000,Cobb County,Cobb County-King County-WA
137,Cobb County-Cuyahoga County-OH-1718,"Cuyahoga County, OH",1718,2017,2018,116,2891000,86,2540000,30,351000,Cobb County,Cobb County-Cuyahoga County-OH
138,Cobb County-Bexar County-TX-1718,"Bexar County, TX",1718,2017,2018,117,3302000,77,1849000,40,1453000,Cobb County,Cobb County-Bexar County-TX
139,Cobb County-Tarrant County-TX-1718,"Tarrant County, TX",1718,2017,2018,118,3834000,173,6771000,-55,-2937000,Cobb County,Cobb County-Tarrant County-TX
140,Cobb County-Philadelphia County-PA-1718,"Philadelphia County, PA",1718,2017,2018,87,2545000,55,1458000,32,1087000,Cobb County,Cobb County-Philadelphia County-PA
141,Cobb County-Montgomery County-MD-1718,"Montgomery County, MD",1718,2017,2018,105,3828000,75,3808000,30,20000,Cobb County,Cobb County-Montgomery County-MD
142,Cobb County-Nassau County-NY-1718,"Nassau County, NY",1718,2017,2018,111,4385000,31,699000,80,3686000,Cobb County,Cobb County-Nassau County-NY
143,Cobb County-Bay County-FL-1718,"Bay County, FL",1718,2017,2018,82,4066000,68,2929000,14,1137000,Cobb County,Cobb County-Bay County-FL
144,Cobb County-Middlesex County-MA-1718,"Middlesex County, MA",1718,2017,2018,92,4976000,59,2425000,33,2551000,Cobb County,Cobb County-Middlesex County-MA
145,Cobb County-Seminole County-FL-1718,"Seminole County, FL",1718,2017,2018,92,2433000,85,3599000,7,-1166000,Cobb County,Cobb County-Seminole County-FL
146,Cobb County-Columbia County-GA-1718,"Columbia County, GA",1718,2017,2018,102,4103000,72,3047000,30,1056000,Cobb County,Cobb County-Columbia County-GA
147,Cobb County-Volusia County-FL-1718,"Volusia County, FL",1718,2017,2018,103,1739000,64,3082000,39,-1343000,Cobb County,Cobb County-Volusia County-FL
148,Cobb County-Richland County-SC-1718,"Richland County, SC",1718,2017,2018,98,3304000,94,2933000,4,371000,Cobb County,Cobb County-Richland County-SC
149,Cobb County-Dougherty County-GA-1718,"Dougherty County, GA",1718,2017,2018,83,1804000,58,881000,25,923000,Cobb County,Cobb County-Dougherty County-GA
150,Cobb County-Franklin County-OH-1718,"Franklin County, OH",1718,2017,2018,86,2377000,103,5851000,-17,-3474000,Cobb County,Cobb County-Franklin County-OH
151,Cobb County-Charleston County-SC-1718,"Charleston County, SC",1718,2017,2018,79,2289000,113,6158000,-34,-3869000,Cobb County,Cobb County-Charleston County-SC
152,Cobb County-Alameda County-CA-1718,"Alameda County, CA",1718,2017,2018,90,4259000,64,2610000,26,1649000,Cobb County,Cobb County-Alameda County-CA
153,Cobb County-Santa Clara County-CA-1718,"Santa Clara County, CA",1718,2017,2018,90,6075000,110,5573000,-20,502000,Cobb County,Cobb County-Santa Clara County-CA
154,Cobb County-Brevard County-FL-1718,"Brevard County, FL",1718,2017,2018,81,2153000,99,3797000,-18,-1644000,Cobb County,Cobb County-Brevard County-FL
155,Cobb County-Riverside County-CA-1718,"Riverside County, CA",1718,2017,2018,96,3116000,72,1747000,24,1369000,Cobb County,Cobb County-Riverside County-CA
156,Cobb County-Lowndes County-GA-1718,"Lowndes County, GA",1718,2017,2018,70,1413000,60,1713000,10,-300000,Cobb County,Cobb County-Lowndes County-GA
157,Cobb County-Jefferson County-KY-1718,"Jefferson County, KY",1718,2017,2018,89,4153000,57,3829000,32,324000,Cobb County,Cobb County-Jefferson County-KY
158,Cobb County-Guilford County-NC-1718,"Guilford County, NC",1718,2017,2018,82,2012000,50,1268000,32,744000,Cobb County,Cobb County-Guilford County-NC
159,Cobb County-Mobile County-AL-1718,"Mobile County, AL",1718,2017,2018,72,1732000,40,572000,32,1160000,Cobb County,Cobb County-Mobile County-AL
160,Cobb County-Fairfield County-CT-1718,"Fairfield County, CT",1718,2017,2018,92,4671000,58,3546000,34,1125000,Cobb County,Cobb County-Fairfield County-CT
161,Cobb County-Marion County-IN-1718,"Marion County, IN",1718,2017,2018,93,2074000,47,1427000,46,647000,Cobb County,Cobb County-Marion County-IN
162,Cobb County-St. Louis County-MO-1718,"St. Louis County, MO",1718,2017,2018,87,2225000,95,3452000,-8,-1227000,Cobb County,Cobb County-St. Louis County-MO
163,Cobb County-Lee County-AL-1718,"Lee County, AL",1718,2017,2018,70,1701000,96,3941000,-26,-2240000,Cobb County,Cobb County-Lee County-AL
164,Cobb County-Oakland County-MI-1718,"Oakland County, MI",1718,2017,2018,72,2892000,81,3060000,-9,-168000,Cobb County,Cobb County-Oakland County-MI
165,Cobb County-DuPage County-IL-1718,"DuPage County, IL",1718,2017,2018,91,8421000,55,3699000,36,4722000,Cobb County,Cobb County-DuPage County-IL
166,Cobb County-Middlesex County-NJ-1718,"Middlesex County, NJ",1718,2017,2018,91,3845000,52,1444000,39,2401000,Cobb County,Cobb County-Middlesex County-NJ
167,Cobb County-Pickens County-GA-1718,"Pickens County, GA",1718,2017,2018,77,2244000,163,8361000,-86,-6117000,Cobb County,Cobb County-Pickens County-GA
168,Cobb County-Allegheny County-PA-1718,"Allegheny County, PA",1718,2017,2018,65,3654000,82,3206000,-17,448000,Cobb County,Cobb County-Allegheny County-PA
169,Cobb County-Knox County-TN-1718,"Knox County, TN",1718,2017,2018,72,2424000,81,3082000,-9,-658000,Cobb County,Cobb County-Knox County-TN
170,Cobb County-Madison County-AL-1718,"Madison County, AL",1718,2017,2018,60,2117000,99,3548000,-39,-1431000,Cobb County,Cobb County-Madison County-AL
171,Cobb County-Orleans Parish-LA-1718,"Orleans Parish, LA",1718,2017,2018,60,2269000,44,819000,16,1450000,Cobb County,Cobb County-Orleans Parish-LA
172,Cobb County-District of Columbia-DC-1718,"District of Columbia, DC",1718,2017,2018,50,2923000,67,2688000,-17,235000,Cobb County,Cobb County-District of Columbia-DC
173,Cobb County-Polk County-FL-1718,"Polk County, FL",1718,2017,2018,79,1292000,57,2626000,22,-1334000,Cobb County,Cobb County-Polk County-FL
174,Cobb County-Bulloch County-GA-1718,"Bulloch County, GA",1718,2017,2018,51,1426000,38,845000,13,581000,Cobb County,Cobb County-Bulloch County-GA
175,Cobb County-Bergen County-NJ-1718,"Bergen County, NJ",1718,2017,2018,87,3011000,40,1463000,47,1548000,Cobb County,Cobb County-Bergen County-NJ
176,Cobb County-Baltimore County-MD-1718,"Baltimore County, MD",1718,2017,2018,74,1876000,37,1250000,37,626000,Cobb County,Cobb County-Baltimore County-MD
177,Cobb County-Escambia County-FL-1718,"Escambia County, FL",1718,2017,2018,63,1334000,66,1636000,-3,-302000,Cobb County,Cobb County-Escambia County-FL
